Time,Speed1,E1,N1,Lon1,Lat1,Alt1,Speed2,E2,N2,Lon2,Lat2,Alt2,Speed3,E3,N3,Lon3,Lat3,Alt3,Speed4,E4,N4,Lon4,Lat4,Alt4,Speed5,E5,N5,Lon5,Lat5,Alt5,Speed6,E6,N6,Lon6,Lat6,Alt6,IVS1,IVS2,IVS3,IVS4,IVS5
0.2,11.12717156,-122.8849642,-71.70684819,16.84189647,46.89437697,244.6835,11.1943043,-129.1735081,-53.4508026,16.84181395,46.89454119,244.327,,,,,,,11.30481855,-140.5804114,-20.23057691,16.84166426,46.89484002,244.929,11.14955761,-141.9606496,-3.310251338,16.84164615,46.89499222,245.26,11.10174719,-141.6380278,20.84482932,16.84165038,46.89520951,245.348,15.46932273,,,12.56641795,18.83411023
0.3,11.12898731,-122.3105361,-72.66448377,16.841904,46.89436835,244.348,11.19629414,-128.9517787,-54.37056899,16.84181686,46.89453292,244.327,,,,,,,11.30736431,-140.4048754,-21.34573245,16.84166657,46.89482999,244.929,11.14440919,-141.9513671,-4.431946118,16.84164627,46.89498213,245.26,11.11212602,-141.7695252,19.72256714,16.84164866,46.89519941,245.566,15.62264489,,,12.57423076,18.83207287
0.4,11.13034389,-121.727737,-73.6175151,16.84191165,46.89435978,244.348,11.19808129,-128.6912217,-55.29951189,16.84182028,46.89452456,244.327,11.31028159,-136.9553548,-36.79624166,16.84171183,46.894691,244.757,11.30889527,-140.2217633,-22.4599011,16.84166897,46.89481996,244.929,11.1412993,-141.9331069,-5.552628581,16.84164651,46.89497205,245.26,11.12306946,-141.8921238,18.60169879,16.84164705,46.89518933,245.566,15.75746497,17.43285882,10.09906365,12.58355314,18.83123729
0.5,11.13124129,-121.1367401,-74.56593648,16.84191941,46.89435125,244.348,11.19966577,-128.3943766,-56.23670837,16.84182417,46.89451613,244.595,11.30504343,-136.6773811,-37.89793088,16.84171548,46.89468109,244.757,11.30941142,-140.0309052,-23.57300661,16.84167147,46.89480995,244.929,11.14022793,-141.9057624,-6.672292411,16.84164687,46.89496198,245.26,11.13457752,-142.0058995,17.48191713,16.84164556,46.89517926,245.566,15.87434222,17.29053807,10.10754522,12.59427933,18.83129227
0.6,11.13167952,-120.5377094,-75.50973741,16.84192727,46.89434276,244.683,11.20104756,-128.0636624,-57.18125908,16.84182851,46.89450763,244.595,11.30146665,-136.389042,-38.99682626,16.84171926,46.89467121,244.757,11.30891277,-139.8321404,-24.68497177,16.84167408,46.89479995,244.967,11.14119509,-141.8692348,-7.790927718,16.84164735,46.89495192,245.26,11.14665018,-142.1109236,16.36294053,16.84164418,46.89516919,245.566,15.97399993,17.16757927,10.11551352,12.60630867,18.83195257
0.7,11.13165858,-119.9307995,-76.44890277,16.84193523,46.89433431,244.683,11.20222667,-127.7013804,-58.13228828,16.84183326,46.89449908,244.595,11.29955123,-136.0902617,-40.09280064,16.84172318,46.89466135,244.757,11.30739931,-139.6253175,-25.79571841,16.8416768,46.89478996,244.967,11.14420077,-141.8234323,-8.908521133,16.84164795,46.89494186,245.284,11.15928746,-142.2072639,15.24451216,16.84164291,46.89515913,245.566,16.05728352,17.06257425,10.12295295,12.61954551,18.83295811
0.8,11.13117846,-119.316156,-77.38341296,16.8419433,46.89432591,244.683,11.2032031,-127.3097169,-59.08894393,16.8418384,46.89449047,244.595,11.29929717,-135.7809785,-41.18573362,16.84172724,46.89465152,244.835,11.30487105,-139.4102945,-26.90516742,16.84167962,46.89477998,244.967,11.14924497,-141.7682708,-10.02505591,16.84164867,46.89493182,245.284,11.17248934,-142.2949835,14.12639931,16.84164176,46.89514907,245.481,16.12512672,16.9741825,10.12985415,12.63389902,18.83407316
0.9,11.13023916,-118.6939159,-78.31324407,16.84195146,46.89431754,244.27,11.20397685,-126.8907458,-60.05039768,16.8418439,46.89448182,244.595,11.30070449,-135.4611446,-42.27551134,16.84173144,46.89464172,244.835,11.30132798,-139.186938,-28.0132389,16.84168255,46.89477001,244.967,11.15632769,-141.703673,-11.14051203,16.84164952,46.89492179,244.657,11.18625584,-142.3741419,13.00839265,16.84164072,46.89513902,245.481,16.17852412,16.9011189,10.13621357,12.64928311,18.83508547
1,11.12921732,-118.0642079,-79.23836806,16.84195973,46.89430922,244.27,11.20437972,-126.4464312,-61.01584498,16.84184973,46.89447314,244.595,11.30377317,-135.1307252,-43.36202629,16.84173577,46.89463194,244.835,11.29805856,-138.9551237,-29.11985208,16.84168559,46.89476006,244.967,11.16412603,-141.6295686,-12.25486629,16.84165049,46.89491176,244.657,11.19969376,-142.4447948,11.89030555,16.8416398,46.89512896,245.481,16.21850911,16.84214405,10.14203291,12.66561627,18.83580553
1.1,11.12848956,-117.4271526,-80.15875291,16.84196809,46.89430094,244.27,11.2042435,-125.9786303,-61.98450514,16.84185587,46.89446443,244.105,11.30850322,-134.7896983,-44.44517708,16.84174025,46.8946222,244.835,11.29635124,-138.7147356,-30.22492547,16.84168874,46.89475012,244.967,11.17131707,-141.5458941,-13.36809242,16.84165159,46.89490175,244.657,11.21190991,-142.5069936,10.77197335,16.84163898,46.8951189,245.481,16.24613591,16.796057,10.14731871,12.68282143,18.8360657
